,Unnamed: 0,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,OrderDate,TransactionTime,ItemProfit,WeekID,DayID
3,3,T7,5618,26/1/92,F,MUMBAI,973.46,2016-02-08,173806.0,566.0,4,31
25,25,T61449,687,4/11/89,M,MUMBAI GIRGAON,8122.44,2016-02-08,10612.0,1318.0,4,31
27,27,T61452,4446,13/2/93,M,DELHI,173.88,2016-02-08,350.0,189.0,4,31
37,37,T61467,1331,14/7/88,M,NEW DELHI,94303.97,2016-02-08,5625.0,108.0,4,31
54,54,T61540,6949,8/10/68,M,FIROZABAD,5341.01,2016-02-08,63708.0,116.0,4,31
56,56,T61543,7064,27/11/84,M,ROHTAK,19664.05,2016-02-08,25842.0,714.0,4,31
81,81,T61572,6149,6/2/89,F,PUNE,6398.6,2016-02-08,92306.0,100.0,4,31
144,144,T61648,991,18/12/84,F,CHANDIGARH,32948.26,2016-02-08,101606.0,850.0,4,31
149,149,T61655,710,25/6/89,M,KOLKATA,9192.77,2016-02-08,41155.0,600.0,4,31
152,152,T61659,4807,27/5/92,F,GURGAON,49745.45,2016-02-08,41811.0,100.0,4,31
200,200,T61782,2353,22/10/91,F,NEW DELHI,129214.76,2016-02-08,55604.0,497.0,4,31
251,251,T61849,6017,8/5/79,F,DELHI,11508.14,2016-02-08,94928.0,516.0,4,31
256,256,T61855,2348,7/9/79,M,SHIMLA,62777.71,2016-02-08,92730.0,573.0,4,31
257,257,T61856,4284,1/7/88,F,NEW DELHI,1426.82,2016-02-08,40115.0,360.0,4,31
283,283,T61887,2992,18/2/92,M,GURGAON,1583.41,2016-02-08,41430.0,300.0,4,31
388,388,T62050,2385,17/8/93,M,CHENNAI,8176.86,2016-02-08,102220.0,300.0,4,31
414,414,T62119,6471,1/9/92,M,DELHI,23.24,2016-02-08,70916.0,147.0,4,31
442,442,T62152,2846,29/5/94,M,GUNTUR,5393.9,2016-02-08,30409.0,50.0,4,31
466,466,T62185,5642,30/8/75,F,DELHI,19321.78,2016-02-08,30517.0,150.0,4,31
536,536,T62305,5474,14/5/86,M,VELLORE,27521.98,2016-02-08,32513.0,265.0,4,31
543,543,T62313,4033,24/5/96,M,MUMBAI,69262.19,2016-02-08,21608.0,251.0,4,31
552,552,T62323,1871,29/8/92,M,MUMBAI,17186.53,2016-02-08,81520.0,215.0,4,31
633,633,T62425,108,28/1/92,M,DELHI,1066.1,2016-02-08,41611.0,110.0,4,31
636,636,T62430,6420,14/10/66,M,NOIDA,233888.29,2016-02-08,94957.0,1000.0,4,31
656,656,T62474,4483,7/5/91,M,CHANDIGARH,32043.18,2016-02-08,183932.0,30.0,4,31
688,688,T62556,3494,29/7/92,F,MUMBAI,3382.5,2016-02-08,23105.0,211.0,4,31
742,742,T62620,5556,23/8/89,M,NEW DELHI,6729.57,2016-02-08,94803.0,500.0,4,31
748,748,T62627,1376,25/9/86,F,NEWAI,4033.62,2016-02-08,93738.0,122.0,4,31
831,831,T62799,5400,29/9/79,M,JAIPUR,51674.76,2016-02-08,80741.0,200.0,4,31
857,857,T62833,4767,8/12/82,M,GHAZIABAD,58421.72,2016-02-08,103648.0,606.9,4,31
894,894,T62875,6723,4/9/92,M,AZAMGARH,11711.74,2016-02-08,94941.0,20.0,4,31
992,992,T63058,4403,5/4/77,M,HYDERABAD,4615.25,2016-02-08,91533.0,1000.0,4,31
994,994,T63062,544,10/1/87,M,ALIGARH,11.81,2016-02-08,90618.0,90.0,4,31
1052,1052,T63162,2275,29/3/91,M,PUNE,29444.21,2016-02-08,13902.0,20.0,4,31
1075,1075,T63235,4080,25/8/90,F,DELHI,201190.11,2016-02-08,4905.0,37.0,4,31
1102,1102,T63270,3320,15/8/92,M,JAIPUR,14.97,2016-02-08,22423.0,30.0,4,31
1103,1103,T63271,1809,27/4/91,M,JAMSHEDPUR,10152.0,2016-02-08,30524.0,130.0,4,31
1107,1107,T63276,48,1/5/80,M,NEW DELHI,3590.02,2016-02-08,21421.0,500.0,4,31
1123,1123,T63294,4996,30/4/83,F,GURGAON,14660.6,2016-02-08,85337.0,925.0,4,31
1140,1140,T63317,595,22/6/92,M,PRAKASAM DIST (AP),8431.26,2016-02-08,102613.0,250.0,4,31
1143,1143,T63321,4345,2/9/88,M,PALAMU,14162.1,2016-02-08,100640.0,20.0,4,31
1192,1192,T63395,1131,14/7/83,M,CHANDIGARH,31545.84,2016-02-08,1043.0,247.0,4,31
1196,1196,T63399,2630,1/1/1800,F,DHARUHERA,67368.05,2016-02-08,10335.0,51.0,4,31
1197,1197,T63400,6323,8/2/85,F,GHAZIABAD,72614.25,2016-02-08,10619.0,933.0,4,31
1314,1314,T63586,3720,15/6/96,M,MEERUT,1464.33,2016-02-08,192032.0,100.0,4,31
1424,1424,T63739,835,17/7/90,M,GURGAON,7893.75,2016-02-08,43944.0,128.0,4,31
1428,1428,T63745,2074,8/6/94,F,RAJAHMUNDRY,5714.36,2016-02-08,102141.0,20.0,4,31
1445,1445,T63775,3764,30/1/87,M,MUMBAI,8363.85,2016-02-08,20710.0,628.0,4,31
1463,1463,T63814,1219,26/7/82,M,GURGAON,372.65,2016-02-08,71815.0,110.0,4,31
1484,1484,T63843,7228,2/1/64,F,NEW DELHI,215606.79,2016-02-08,122507.0,32.46,4,31
1508,1508,T63877,57,28/5/92,F,KOLLAM,7538.03,2016-02-08,73224.0,30.0,4,31
